date,ES=F,NQ=F,GC=F,CL=F,EURUSD=X,BTC-USD,portfolio_value,portfolio_value_eur,pos_value,ddn,exchange_rate,dayly_profit,dayly_profit_eur,ddn_eur,keep_day,portfolio_return,cagr,weekly_return,monthly_return
2024-02-08,0,34,31,7,0,36,2029229.8,1888782.41,2224548.26,0.0,0.93,9453.62,8788.18,0.0,0,0.004674578176763866,0.24176756420986267,0.016499154357028423,0.011003685276299358
2024-02-09,0,34,31,15,0,36,2052117.39,1910212.73,2308611.84,0.0,0.93,23092.77,21430.32,0.0,0,0.01134610312259321,0.25743683348827406,0.022143983399633416,0.024640357848100813
2024-02-12,0,34,31,15,0,36,2065846.73,1923141.89,2322341.19,0.0,0.93,13934.08,12929.16,0.0,1,0.006768439868998222,0.26785274480483223,0.03196458818540915,0.027674982632503453
2024-02-13,0,33,31,15,0,36,2038153.3,1897683.34,2259415.09,0.0136,0.93,-27490.66,-25458.55,-0.013,0,-0.013237998783334648,0.25594886716459864,0.017895530511612856,0.015267303432217605
2024-02-14,0,33,31,15,0,36,2063989.43,1921856.17,2285251.22,0.0009,0.93,26039.61,24172.83,-0.001,1,0.012738073571326058,0.2661547095691419,0.022289195956346708,0.0382671992551723
2024-02-15,0,33,31,15,0,36,2072633.3,1930117.19,2293895.08,0.0,0.93,8846.68,8261.03,0.0,1,0.004298459025682488,0.26875457806185543,0.02191307680526533,0.04409938633195709
2024-02-16,0,33,31,15,0,36,2067745.68,1925751.97,2289007.47,0.0024,0.93,-4684.82,-4365.22,-0.002,1,-0.0022616346937980314,0.26561697614343616,0.00830533898887409,0.04884643181211734
2024-02-20,0,33,39,15,0,36,2063157.86,1921680.55,2446524.6,0.0046,0.93,-4386.51,-4071.43,-0.004,0,-0.0021141974996914392,0.2671279699547886,-0.0005772983798155717,0.04557543812912623
2024-02-21,0,33,39,16,0,36,2052933.88,1912378.35,2444020.62,0.0096,0.93,-10023.49,-9302.2,-0.009,0,-0.004840658870174819,0.2632556881405541,0.007820041533344257,0.032422069656816266
2024-02-22,0,34,39,16,0,36,2083440.37,1940780.68,2510084.79,0.0,0.92,30711.87,28402.33,0.0,0,0.014851836196535073,0.2812802238825166,0.009933804158553272,0.051028077124018356
2024-02-23,0,34,35,17,0,36,2078353.61,1936270.55,2432201.02,0.0024,0.92,-4880.14,-4510.13,-0.002,0,-0.0023238741226545567,0.27880918676378486,0.003311471010216227,0.04673454429939983
2024-02-26,0,34,37,17,0,36,2102888.89,1959124.95,2497428.3,0.0,0.92,24741.42,22854.39,0.0,0,0.0118033092018055,0.290683044020988,0.01737641490581976,0.056597634007063524
2024-02-27,0,34,37,17,0,36,2128562.27,1983043.87,2523101.68,0.0,0.92,25880.39,23918.92,0.0,1,0.012208981361806481,0.3039787171470164,0.03169959376731768,0.0667387907806789
2024-02-28,0,34,37,18,0,36,2159461.07,2011710.27,2561853.48,0.0,0.92,31105.71,28666.4,0.0,0,0.014455756846165846,0.3176009093877171,0.050996009483658344,0.08045805264757133
2024-02-29,0,34,37,18,0,36,2165639.93,2017600.3,2568032.34,0.0,0.92,6387.63,5890.03,0.0,1,0.002927871914676805,0.31990151555157553,0.039072045201800076,0.0770621112810701
2024-03-01,0,36,37,20,0,36,2211651.11,2060246.32,2702019.52,0.0,0.92,46223.24,42646.02,0.0,0,0.021137001218725082,0.3409343545413698,0.06253292054317972,0.10004882772484314
2024-03-04,0,36,44,20,0,36,2259855.54,2105053.49,2896110.96,0.0,0.93,48414.01,44807.17,0.0,0,0.021748452874314594,0.3623513297271318,0.07247806421568881,0.1304466783073136
2024-03-05,0,36,48,20,0,36,2209855.22,2059130.45,2930726.64,0.0226,0.92,-49792.95,-45923.04,-0.022,0,-0.021815616666349014,0.33881912374469325,0.038453466187533314,0.10418945892365528
2024-03-06,0,36,51,20,0,36,2245416.6,2092083.01,3030068.01,0.0064,0.92,35770.57,32952.57,-0.006,0,0.01600314346281473,0.35463166939276836,0.040000852804182196,0.11449132830648179
2024-03-07,0,36,55,20,0,26,2272489.03,2117232.69,3011542.52,0.0,0.92,27302.48,25149.68,0.0,0,0.012021358559763717,0.3686242543511177,0.04909433944926911,0.12956485178302302
2024-03-08,0,36,56,20,0,26,2269831.05,2115005.0,3030562.55,0.0012,0.92,-2428.09,-2227.7,-0.001,0,-0.0010521706048285395,0.36726468875035734,0.026905167625715487,0.12768162228773283
2024-03-11,0,36,56,18,0,26,2286109.17,2130081.78,3031430.31,0.0,0.91,16509.29,15076.78,0.0,0,0.0071284843298242695,0.3743633289297513,0.012285199081225162,0.1264656984909649
2024-03-12,0,36,56,18,0,26,2288211.5,2132214.58,3033532.64,0.0,0.91,2333.92,2132.81,0.0,1,0.0010012761106290569,0.3744022734428182,0.03510209185820323,0.12279239642483009
2024-03-13,0,36,56,19,0,26,2298074.38,2141448.8,3051378.15,0.0,0.91,10094.24,9234.21,0.0,0,0.004330811770361098,0.37484711546147065,0.023429760165749602,0.11577710507259797
2024-03-14,0,36,56,19,0,26,2281396.53,2126397.62,3034700.29,0.0073,0.92,-16447.58,-15051.18,-0.007,1,-0.007028503319808421,0.36752699649126486,0.004379898286177464,0.10198016188379133
2024-03-15,0,36,56,19,0,23,2253048.35,2100735.83,2966863.39,0.02,0.91,-28113.27,-25661.79,-0.019,0,-0.012068199173398297,0.3531119059095117,-0.006636130282392294,0.10314996149372768
2024-03-18,0,36,56,19,0,24,2276566.92,2122561.03,3004061.22,0.0094,0.92,23753.26,21825.21,-0.009,0,0.010389312015494978,0.3589073486100246,-0.0033753025967215855,0.1008011999378966
2024-03-19,0,36,58,19,0,24,2251242.04,2099505.25,3021868.34,0.0208,0.92,-25090.63,-23055.78,-0.02,0,-0.010862245972734108,0.3315013094227487,-0.01523882468008475,0.08564049493948
2024-03-20,0,36,54,19,0,23,2291291.96,2136555.75,2963402.84,0.003,0.92,40288.49,37050.5,-0.002,0,0.01764725284683144,0.3452175665325238,-0.0019223836036144082,0.10554938248010948
2024-03-21,0,36,54,11,0,22,2297926.03,2142886.57,2892281.07,0.0001,0.92,6877.37,6330.82,0.0,0,0.0029630960951989582,0.352631212769436,0.008069215811392971,0.11062667607499987
2024-03-22,0,36,54,11,0,21,2278057.8,2124945.69,2859319.85,0.0088,0.91,-19622.32,-17940.88,-0.008,0,-0.008372295692720577,0.3481933894751943,0.011765119292070692,0.10709503925245412
2024-03-25,0,36,54,11,0,21,2310073.99,2154645.04,2891336.04,0.0,0.92,32260.51,29699.35,0.0,1,0.013976521912896667,0.34585210764553054,0.01535232918947238,0.10621972496881571
2024-03-26,0,36,54,11,0,21,2305620.92,2150748.66,2886882.97,0.0019,0.93,-4211.03,-3896.38,-0.002,1,-0.0018083628289882192,0.34857349128329185,0.02440621233321827,0.10673523626248205
2024-03-27,0,36,54,12,0,22,2315018.14,2159642.68,2918417.56,0.0,0.92,9639.54,8894.02,0.0,0,0.004135313514504357,0.36400817186967116,0.010894273000891186,0.0990672405751809
2024-03-28,0,36,54,12,0,22,2335278.31,2178571.3,2938677.74,0.0,0.92,20504.17,18928.63,0.0,1,0.00876469990859774,0.36881362687281294,0.016695876814289967,0.09562295912197216
2024-04-01,0,36,56,13,0,24,2342649.49,2185609.95,3027635.31,0.0,0.92,7611.16,7038.65,0.0,0,0.003230855928378462,0.36200887706164,0.028299028435389006,0.08439805820418478
2024-04-02,0,36,56,13,0,24,2325774.65,2170196.75,3010760.47,0.0073,0.93,-16635.05,-15413.2,-0.007,1,-0.007052127485052906,0.3511052430346795,0.007270379037439434,0.07441805880445507
2024-04-03,0,36,56,13,0,23,2350407.2,2193364.08,3022308.68,0.0,0.93,24875.27,23167.33,0.0,0,0.010675221036986704,0.35679640659316836,0.019753962903414357,0.06395627862271669
